Abren;Plural;;Si aprono;Verbo
Abres;Singular;;si apre;Verbo
Abr°;Singular;;Mi sono aperto;Verbo
Abrieron;Plural;;Si sono aperti;Verbo
Abrimos;Plural;;Apriamo;Verbo
Abri¢;Singular;;aprç;Verbo
Abrir;Singular;;aperto;Verbo
Abrir†;Singular;;Si aprirÖ;Verbo
Abrir†n;Plural;;Si apriranno;Verbo
Abrir†s;Singular;;Si aprirÖ;Verbo
AbrirÇ;Singular;;Mi apro;Verbo
Abriremos;Plural;;Ci apriremo;Verbo
Abriste;Singular;;Hai aperto;Verbo
Abro;Singular;;Mi apro;Verbo
Abuela;Singular;Femenino;nonna;Objeto
Abuelas;Plural;Femenino;nonne;Objeto
Abuelo;Singular;Masculino;nonno;Objeto
Abuelos;Plural;Masculino;nonni;Objeto
Aburrida;Singular;Femenino;aburrida;Adjetivo
Aburridas;Plural;Femenino;si sono noiosi;Adjetivo
Aburrido;Singular;Masculino;noioso;Adjetivo
Aburridos;Plural;Masculino;noioso;Adjetivo
Academia;Singular;Femenino;accademia;Objeto
Academias;Plural;Femenino;Accademie;Objeto
Acapulco;Singular;Masculino;Acapulco;Nombre
Acepta;Singular;;accetta;Verbo
Aceptamos;Plural;;Noi accettiamo;Verbo
Aceptan;Plural;;Accettano;Verbo
Aceptar;Singular;;accettare;Verbo
Aceptar†;Singular;;Accetta;Verbo
Aceptar†n;Plural;;Accetta;Verbo
Aceptar†s;Singular;;Accetterai;Verbo
AceptarÇ;Singular;;Lo accetto;Verbo
Aceptaremos;Plural;;Accetteremo;Verbo
Aceptaron;Plural;;Accettarono;Verbo
Aceptas;Singular;;Accetti;Verbo
Aceptaste;Singular;;Hai accettato;Verbo
AceptÇ;Singular;;Ho accettato;Verbo
Acepto;Singular;;Accetto;Verbo
Acept¢;Singular;;Ha accettato;Verbo
µcida;Singular;Femenino;acida;Adjetivo
µcidas;Plural;Femenino;acido;Adjetivo
µcido;Singular;Masculino;acido;Adjetivo
µcidos;Plural;Masculino;acidi;Adjetivo
Adri†n;Singular;Masculino;Adrian;Nombre
Afuera;Singular;Femenino;fuori;Objeto
Afueras;Plural;Femenino;periferia;Objeto
Agua;Singular;Femenino;acqua;Objeto
Aguas;Plural;Femenino;acque;Objeto
Agujero;Singular;Masculino;buco;Objeto
Agujeros;Plural;Masculino;fori;Objeto
Ah°;;;ci;Advervio
Ahora;;Femenino;ora;Advervio
Al;Singular;;alla;Art. Contracto
Alaska;Singular;Femenino;Alaska;Nombre
Alberta;Singular;Femenino;Alberta;Nombre
Alcanc°a;Singular;Femenino;salvadanaio;Objeto
Alcancias;Plural;Femenino;porcellino;Objeto
Alegre;Singular;;allegro;Adjetivo
Alegres;Plural;;Alegres;Adjetivo
Alemania;Singular;Femenino;Germania;Nombre
Alfil;Singular;Masculino;vescovo;Objeto
Alfiles;Plural;Masculino;Alfiles;Objeto
Alimento;Singular;Masculino;cibo;Objeto
Alimentos;Plural;Masculino;cibo;Objeto
All°;Singular;;ci;Adverbio
Almohada;Singular;Femenino;cuscino;Objeto
Almohadas;Plural;Femenino;cuscini;Objeto
Almuerzo;Singular;Masculino;pranzo;Objeto
Almuerzos;Plural;Masculino;fitto;Objeto
Alrededor;Singular;;in giro;Adverbio
Alta;Singular;Femenino;alto;Adjetivo
Altas;Plural;Femenino;Altas;Adjetivo
Alto;Singular;Masculino;alto;Adjetivo
Altos;Plural;Masculino;Altos;Adjetivo
Altura;Singular;Femenino;altezza;Objeto
Alturas;Plural;Femenino;altezze;Objeto
Amarga;Singular;Femenino;Amarga;Adjetivo
Amargas;Plural;Femenino;amargas;Adjetivo
Amargo;Singular;Masculino;amaro;Adjetivo
Amargos;Plural;Masculino;amaro;Adjetivo
Amarilla;Singular;Femenino;giallo;Adjetivo
Amarillas;Plural;Femenino;giallo;Adjetivo
Amarillo;Singular;Masculino;giallo;Adjetivo
Amarillos;Plural;Masculino;giallo;Adjetivo
Amplia;Singular;Femenino;spazioso;Adjetivo
Amplias;Plural;Femenino;spazioso;Adjetivo
Amplio;Singular;Masculino;grande;Adjetivo
Amplios;Plural;Masculino;esteso;Adjetivo
Amy;Singular;Femenino;Amy;Nombre
Ancha;Singular;Femenino;Ancha;Adjetivo
Anchas;Plural;Femenino;‘ larga;Adjetivo
Ancho;Singular;Masculino;larghezza;Adjetivo
Anchos;Plural;Masculino;larghezze;Adjetivo
Anciana;Singular;Femenino;vecchia;Objeto
Ancianas;Plural;Femenino;anziano;Objeto
Anciano;Singular;Masculino;Vecchio;Objeto
Ancianos;Plural;Masculino;anziano;Objeto
µngel;Singular;Masculino;angelo;Nombre
Angosta;Singular;Femenino;Angosta;Adjetivo
Angostas;Plural;Femenino;stretto;Adjetivo
Angosto;Singular;Masculino;stretto;Adjetivo
Angostos;Plural;Masculino;stretto;Adjetivo
Ant†rtida;Singular;Femenino;Antartide;Nombre
Anteojo;Singular;Masculino;anteojo;Objeto
Anteojos;Plural;Masculino;occhiali;Objeto
Antes;Plural;;prima;Adverbio
Antier;Singular;;Antier;Adverbio
Antonio;Singular;Masculino;Anthony;Nombre
Anuncio;Singular;Masculino;annuncio;Objeto
Anuncios;Plural;Masculino;annunci;Objeto
Apaga;Singular;;via;Verbo
Apagamos;Plural;;Noi eliminiamo;Verbo
Apagan;Plural;;Si spegnono;Verbo
Apagar†;Singular;;CancellerÖ;Verbo
Apagar†n;Plural;;Si spegnerÖ;Verbo
Apagar†s;Singular;;Elimina;Verbo
ApagarÇ;Singular;;Eliminerï;Verbo
Apagaremos;Plural;;Elimineremo;Verbo
Apagaron;Plural;;Si arrestarono;Verbo
Apagas;Singular;;Hai smesso di uscire;Verbo
Apagaste;Singular;;Hai eliminato;Verbo
Apago;Singular;;Elimino;Verbo
Apag¢;Singular;;Si ä spento;Verbo
ApaguÇ;Singular;;Ho annullato;Verbo
Aparte;Singular;;a parte;Adverbio
Apollo;Singular;Masculino;Apollo;Nombre
Apremia;Singular;;spinge;Verbo
Apremiamos;Plural;;Apprezziamo;Verbo
Apremian;Plural;;sono pressatura;Verbo
Apremiar;Singular;;Per sfidare;Verbo
Apremiar†;Singular;;SpingerÖ;Verbo
Apremiar†n;Plural;;SpingerÖ;Verbo
Apremiar†s;Singular;;Si affretta;Verbo
ApremiarÇ;Singular;;Lo esorto;Verbo
Apremiaremos;Plural;;Noi esortiamo;Verbo
Apremiaron;Plural;;essi hanno esortato;Verbo
Apremias;Singular;;di correre;Verbo
Apremiaste;Singular;;Hai assunto;Verbo
ApremiÇ;Singular;;Apprezzo;Verbo
Apremio;Singular;;pressione;Verbo
Apremi¢;Singular;;egli ha esortato;Verbo
Aprende;Singular;;imparare;Verbo
Aprendemos;Plural;;Noi impariamo;Verbo
Aprenden;Plural;;Imparano;Verbo
Aprender;Singular;;Per imparare;Verbo
Aprender†;Singular;;ApprenderÖ;Verbo
Aprender†n;Plural;;ApprenderÖ;Verbo
Aprender†s;Singular;;Imparerai;Verbo
AprenderÇ;Singular;;Imparerï;Verbo
Aprenderemos;Plural;;Apprenderemo;Verbo
Aprendes;Singular;;Tu impari;Verbo
Aprend°;Singular;;Ho imparato;Verbo
Aprendieron;Plural;;Hanno imparato;Verbo
Aprendimos;Plural;;Abbiamo imparato;Verbo
Aprendi¢;Singular;;Ha imparato;Verbo
Aprendiste;Singular;;Hai imparato;Verbo
Aprendo;Singular;;Imparo;Verbo
Aquel;Singular;;che;Determinante
Aquella;Singular;Femenino;che;Determinante
Aquellas;Plural;Femenino;quelli;Determinante
Aquello;Singular;Masculino;che;Determinante
Aquellos;Plural;Masculino;quelli;Determinante
Aqu°;Singular;;qui;Adverbio
µrbol;Singular;Masculino;albero;Objeto
µrboles;Plural;Masculino;alberi;Objeto
Archivo;Singular;Masculino;archivio;Objeto
Archivos;Plural;Masculino;record;Objeto
Arcoiris;;Masculino;Arcoiris;Objeto
µrea;Singular;Femenino;zona;Objeto
Areas;Plural;Femenino;aree;Objeto
Arena;Singular;Femenino;arena;Objeto
Arenas;Plural;Femenino;Arenas;Objeto
Argentina;Singular;Femenino;Argentina;Nombre
Arista;Singular;Femenino;barba;Objeto
Aristas;Plural;Femenino;Aristas;Objeto
Armando;Singular;Masculino;armando;Nombre
µrtico;Singular;Masculino;Artico;Nombre
Articulo;Singular;Masculino;articolo;Objeto
Articulos;Plural;Masculino;articoli;Objeto
Asami;Singular;Femenino;Asami;Nombre
